lecture	    sent_id	    term
lesson_01	sent0004	extra-solar planets
lesson_01	sent0008	Solar System
lesson_01	sent0013	theoretical physics
lesson_01	sent0021	dark energy
lesson_01	sent0021	mass energy of the Universe
lesson_01	sent0029	black hole
lesson_01	sent0036	general relativity
lesson_01	sent0059	Planetary Orbits
lesson_01	sent0077	geocentric model
lesson_01	sent0085	epicycles
lesson_01	sent0136	Planetary Motion
lesson_01	sent0149	Newton's Laws
lesson_01	sent0149	Theory of Everything
lesson_01	sent0161	Law of Gravity
lesson_01	sent0163	Kepler's Laws
lesson_01	sent0170	universal laws
lesson_01	sent0187	Newtonian physics
lesson_01	sent0190	quantum mechanics
lesson_01	sent0205	string theory
lesson_01	sent0218	semi-major axis
lesson_01	sent0222	orbital period
lesson_01	sent0233	mass of the Sun
lesson_01	sent0235	Earth's orbit
lesson_01	sent0236	Astronomical Unit
lesson_02	sent0286	Exoplanets
lesson_02	sent0316	long photographic exposure
lesson_02	sent0343	optical distortions
lesson_02	sent0349	solar masses
lesson_02	sent0416	scientific notation
lesson_02	sent0591	hypotenuse
lesson_02	sent0599	small angle formula
lesson_02	sent0610	arc seconds
lesson_02	sent0617	parsec
lesson_02	sent0662	surface temperature
lesson_02	sent0718	space telescope
lesson_03	sent0798	scientific controversies
lesson_03	sent0807	Conservation of Momentum
lesson_03	sent0851	center of mass
lesson_03	sent0864	circular orbits
lesson_03	sent0878	reflex motion
lesson_03	sent1034	Kuiper Belt
lesson_03	sent1034	Oort Cloud
lesson_03	sent1103	Celestial Objects
lesson_03	sent1121	scientific method
lesson_03	sent1147	observational sciences
lesson_03	sent1187	Jovian planets
lesson_03	sent1196	Pluto debate
lesson_04	sent1211	Hot Jupiters
lesson_04	sent1213	Theory of Planetary Formation
lesson_04	sent1254	dust grains
lesson_04	sent1256	planetesimals
lesson_04	sent1257	distance from the Sun
lesson_04	sent1286	gas planets
lesson_04	sent1393	Doppler Shift
lesson_04	sent1396	astronomical objects
lesson_04	sent1415	redshift
lesson_04	sent1431	radial velocity
lesson_04	sent1485	sine wave
lesson_04	sent1504	radial velocity curve
lesson_05	sent1620	New Horizons Mission
lesson_05	sent1824	Selection Effect
lesson_05	sent1859	massive planets
lesson_05	sent1964	spectral features
lesson_05	sent1979	absorption line
lesson_06	sent2061	brightness of the star
lesson_06	sent2088	Hubble Space Telescope
lesson_06	sent2096	light curve
lesson_06	sent2167	line of sight
lesson_06	sent2223	transit method
lesson_06	sent2286	Metallicity
lesson_07	sent2453	cross-section
lesson_07	sent2514	gas giant planet
lesson_07	sent2623	astrometry method
lesson_07	sent2788	optical light
lesson_07	sent2807	orbital dynamics
lesson_07	sent2822	atmospheric chemistry
lesson_08	sent2964	Schwarzschild Radius
lesson_08	sent3098	Electron Degeneracy Pressure
lesson_08	sent3098	Chandrasekhar Limit
lesson_08	sent3108	nuclear fuel
lesson_08	sent3175	Neutron Stars
lesson_09	sent3235	Event Horizon
lesson_09	sent3365	special relativity
lesson_09	sent3568	supermassive black holes
lesson_09	sent3652	relativistic effects
lesson_10	sent3762	Newtonian approximation
lesson_10	sent3926	Lorentz transformations
lesson_11	sent4535	Schwarzschild metric
lesson_12	sent4678	Stellar Mass Black Holes
lesson_12	sent5066	perihelion
lesson_12	sent5320	quasar
lesson_12	sent5425	Gravitational Redshift
lesson_12	sent5425	post-Newtonian effects
lesson_12	sent5598	binary pulsars
lesson_14	sent5667	Gravitational Lensing
lesson_15	sent6132	Strong-Field Relativity
lesson_15	sent6150	electromagnetic radiation
lesson_15	sent6151	radio astronomy
lesson_16	sent6599	Spiral Nebulae
lesson_16	sent6685	Hubble Diagram
lesson_16	sent6687	Hubble Constant
lesson_16	sent6727	Parallax Method
lesson_16	sent6816	Standard Candle Method
lesson_16	sent6944	Apparent Magnitude
lesson_16	sent6948	absolute magnitude
